Rk,Player,Day,G#,Week,Date,Age,Team,,Opp,Result,Pos.,Player-additional
420,Andy Dalton,Sun,5,5,2024-10-06,36-343,CAR,@,CHI,L 10-36,QB,DaltAn00
421,Jayden Daniels,Sun,5,5,2024-10-06,23-293,WAS,,CLE,W 34-13,QB,DaniJa02
422,Sam Darnold,Sun,5,5,2024-10-06,27-123,MIN,,NYJ,W 23-17,QB,DarnSa00
423,Justin Fields,Sun,5,5,2024-10-06,25-215,PIT,,DAL,L 17-20,QB,FielJu00
424,Joe Flacco,Sun,5,5,2024-10-06,39-264,IND,@,JAX,L 34-37,QB,FlacJo00
425,Tyler Huntley,Sun,5,5,2024-10-06,26-246,MIA,@,NWE,W 15-10,QB,HuntTy01
426,Lamar Jackson,Sun,5,5,2024-10-06,27-273,BAL,@,CIN,W 41-38 (OT),QB,JackLa00
427,Daniel Jones,Sun,5,5,2024-10-06,27-132,NYG,@,SEA,W 29-20,QB,JoneDa05
428,Trevor Lawrence,Sun,5,5,2024-10-06,25-000,JAX,,IND,W 37-34,QB,LawrTr00
429,Jordan Love,Sun,5,5,2024-10-06,25-339,GNB,@,LAR,W 24-19,QB,LoveJo03
430,Gardner Minshew II,Sun,5,5,2024-10-06,28-143,LVR,@,DEN,L 18-34,QB,MinsGa00
431,Kyler Murray,Sun,5,5,2024-10-06,27-060,ARI,@,SFO,W 24-23,QB,MurrKy00
432,Bo Nix,Sun,5,5,2024-10-06,24-224,DEN,,LVR,W 34-18,QB,NixxBo00
433,Dak Prescott,Sun,5,5,2024-10-06,31-069,DAL,@,PIT,W 20-17,QB,PresDa01
434,Brock Purdy,Sun,5,5,2024-10-06,24-284,SFO,,ARI,L 23-24,QB,PurdBr00
435,Aaron Rodgers,Sun,5,5,2024-10-06,40-309,NYJ,@,MIN,L 17-23,QB,RodgAa00
436,Geno Smith,Sun,5,5,2024-10-06,33-362,SEA,,NYG,L 20-29,QB,SmitGe00
437,Matthew Stafford,Sun,5,5,2024-10-06,36-242,LAR,,GNB,L 19-24,QB,StafMa00
438,C.J. Stroud,Sun,5,5,2024-10-06,23-003,HOU,,BUF,W 23-20,QB,StroCJ00
439,Deshaun Watson,Sun,5,5,2024-10-06,29-022,CLE,@,WAS,L 13-34,QB,WatsDe00
440,Caleb Williams,Sun,5,5,2024-10-06,22-323,CHI,,CAR,W 36-10,QB,WillCa03
441,Kirk Cousins,Thu,5,5,2024-10-03,36-045,ATL,,TAM,W 36-30 (OT),QB,CousKi00
442,Baker Mayfield,Thu,5,5,2024-10-03,29-172,TAM,@,ATL,L 30-36 (OT),QB,MayfBa00
443,Jared Goff,Mon,4,4,2024-09-30,29-352,DET,,SEA,W 42-29,QB,GoffJa00
444,Tyler Huntley,Mon,4,4,2024-09-30,26-240,MIA,,TEN,L 12-31,QB,HuntTy01
445,Will Levis,Mon,4,4,2024-09-30,25-095,TEN,@,MIA,W 31-12,QB,LeviWi00
446,Geno Smith,Mon,4,4,2024-09-30,33-356,SEA,@,DET,L 29-42,QB,SmitGe00
447,Josh Allen,Sun,4,4,2024-09-29,28-131,BUF,@,BAL,L 10-35,QB,AlleJo02
448,Jacoby Brissett,Sun,4,4,2024-09-29,31-293,NWE,@,SFO,L 13-30,QB,BrisJa00
449,Joe Burrow,Sun,4,4,2024-09-29,27-294,CIN,@,CAR,W 34-24,QB,BurrJo01
450,Derek Carr,Sun,4,4,2024-09-29,33-185,NOR,@,ATL,L 24-26,QB,CarrDe02
451,Kirk Cousins,Sun,4,4,2024-09-29,36-041,ATL,,NOR,W 26-24,QB,CousKi00
452,Andy Dalton,Sun,4,4,2024-09-29,36-336,CAR,,CIN,L 24-34,QB,DaltAn00
453,Jayden Daniels,Sun,4,4,2024-09-29,23-286,WAS,@,ARI,W 42-14,QB,DaniJa02
454,Sam Darnold,Sun,4,4,2024-09-29,27-116,MIN,,GNB,W 31-29,QB,DarnSa00
455,Justin Fields,Sun,4,4,2024-09-29,25-208,PIT,@,IND,L 24-27,QB,FielJu00
456,Joe Flacco,Sun,4,4,2024-09-29,39-257,IND,,PIT,W 27-24,QB,FlacJo00
457,Justin Herbert,Sun,4,4,2024-09-29,26-203,LAC,,KAN,L 10-17,QB,HerbJu00
458,Jalen Hurts,Sun,4,4,2024-09-29,26-053,PHI,@,TAM,L 16-33,QB,HurtJa00
459,Lamar Jackson,Sun,4,4,2024-09-29,27-266,BAL,,BUF,W 35-10,QB,JackLa00
460,Daniel Jones,Sun,4,4,2024-09-29,27-125,NYG,,DAL,L 15-20,QB,JoneDa05
461,Trevor Lawrence,Sun,4,4,2024-09-29,24-359,JAX,@,HOU,L 20-24,QB,LawrTr00
462,Will Levis,Sun,4,4,2024-09-29,25-094,TEN,@,MIA,W 31-12,QB,LeviWi00
463,Jordan Love,Sun,3,4,2024-09-29,25-332,GNB,,MIN,L 29-31,QB,LoveJo03
464,Patrick Mahomes,Sun,4,4,2024-09-29,29-012,KAN,@,LAC,W 17-10,QB,MahoPa00
465,Baker Mayfield,Sun,4,4,2024-09-29,29-168,TAM,,PHI,W 33-16,QB,MayfBa00
466,Gardner Minshew II,Sun,4,4,2024-09-29,28-136,LVR,,CLE,W 20-16,QB,MinsGa00
467,Kyler Murray,Sun,4,4,2024-09-29,27-053,ARI,,WAS,L 14-42,QB,MurrKy00
468,Bo Nix,Sun,4,4,2024-09-29,24-217,DEN,@,NYJ,W 10-9,QB,NixxBo00
469,Dak Prescott,Sun,4,4,2024-09-29,31-062,DAL,@,NYG,W 20-15,QB,PresDa01
470,Brock Purdy,Sun,4,4,2024-09-29,24-277,SFO,,NWE,W 30-13,QB,PurdBr00
471,Anthony Richardson,Sun,4,4,2024-09-29,22-130,IND,,PIT,W 27-24,QB,RichAn03
472,Aaron Rodgers,Sun,4,4,2024-09-29,40-302,NYJ,,DEN,L 9-10,QB,RodgAa00
473,Matthew Stafford,Sun,4,4,2024-09-29,36-235,LAR,@,CHI,L 18-24,QB,StafMa00
474,C.J. Stroud,Sun,4,4,2024-09-29,22-362,HOU,,JAX,W 24-20,QB,StroCJ00
475,Deshaun Watson,Sun,4,4,2024-09-29,29-015,CLE,@,LVR,L 16-20,QB,WatsDe00
476,Caleb Williams,Sun,4,4,2024-09-29,22-316,CHI,,LAR,W 24-18,QB,WillCa03
477,Daniel Jones,Thu,4,4,2024-09-26,27-122,NYG,,DAL,L 15-20,QB,JoneDa05
478,Dak Prescott,Thu,4,4,2024-09-26,31-059,DAL,@,NYG,W 20-15,QB,PresDa01
479,Josh Allen,Mon,3,3,2024-09-23,28-125,BUF,,JAX,W 47-10,QB,AlleJo02
480,Joe Burrow,Mon,3,3,2024-09-23,27-288,CIN,,WAS,L 33-38,QB,BurrJo01
481,Jayden Daniels,Mon,3,3,2024-09-23,23-280,WAS,@,CIN,W 38-33,QB,DaniJa02
482,Trevor Lawrence,Mon,3,3,2024-09-23,24-353,JAX,@,BUF,L 10-47,QB,LawrTr00
483,Derek Carr,Sun,3,3,2024-09-22,33-178,NOR,,PHI,L 12-15,QB,CarrDe02
484,Kirk Cousins,Sun,3,3,2024-09-22,36-034,ATL,,KAN,L 17-22,QB,CousKi00
485,Andy Dalton,Sun,3,3,2024-09-22,36-329,CAR,@,LVR,W 36-22,QB,DaltAn00
486,Sam Darnold,Sun,3,3,2024-09-22,27-109,MIN,,HOU,W 34-7,QB,DarnSa00
487,Justin Fields,Sun,3,3,2024-09-22,25-201,PIT,,LAC,W 20-10,QB,FielJu00
488,Jared Goff,Sun,3,3,2024-09-22,29-344,DET,@,ARI,W 20-13,QB,GoffJa00
489,Justin Herbert,Sun,3,3,2024-09-22,26-196,LAC,@,PIT,L 10-20,QB,HerbJu00
490,Jalen Hurts,Sun,3,3,2024-09-22,26-046,PHI,@,NOR,W 15-12,QB,HurtJa00
491,Lamar Jackson,Sun,3,3,2024-09-22,27-259,BAL,@,DAL,W 28-25,QB,JackLa00
492,Daniel Jones,Sun,3,3,2024-09-22,27-118,NYG,@,CLE,W 21-15,QB,JoneDa05
493,Will Levis,Sun,3,3,2024-09-22,25-087,TEN,,GNB,L 14-30,QB,LeviWi00
494,Patrick Mahomes,Sun,3,3,2024-09-22,29-005,KAN,@,ATL,W 22-17,QB,MahoPa00
495,Baker Mayfield,Sun,3,3,2024-09-22,29-161,TAM,,DEN,L 7-26,QB,MayfBa00
496,Gardner Minshew II,Sun,3,3,2024-09-22,28-129,LVR,,CAR,L 22-36,QB,MinsGa00
497,Kyler Murray,Sun,3,3,2024-09-22,27-046,ARI,,DET,L 13-20,QB,MurrKy00
498,Bo Nix,Sun,3,3,2024-09-22,24-210,DEN,@,TAM,W 26-7,QB,NixxBo00
499,Dak Prescott,Sun,3,3,2024-09-22,31-055,DAL,,BAL,L 25-28,QB,PresDa01
500,Brock Purdy,Sun,3,3,2024-09-22,24-270,SFO,@,LAR,L 24-27,QB,PurdBr00
501,Anthony Richardson,Sun,3,3,2024-09-22,22-123,IND,,CHI,W 21-16,QB,RichAn03
502,Geno Smith,Sun,3,3,2024-09-22,33-348,SEA,,MIA,W 24-3,QB,SmitGe00
503,Matthew Stafford,Sun,3,3,2024-09-22,36-228,LAR,,SFO,W 27-24,QB,StafMa00
504,C.J. Stroud,Sun,3,3,2024-09-22,22-355,HOU,@,MIN,L 7-34,QB,StroCJ00
505,Skylar Thompson,Sun,3,3,2024-09-22,27-110,MIA,@,SEA,L 3-24,QB,ThomSk00
506,Deshaun Watson,Sun,3,3,2024-09-22,29-008,CLE,,NYG,L 15-21,QB,WatsDe00
507,Caleb Williams,Sun,3,3,2024-09-22,22-309,CHI,@,IND,L 16-21,QB,WillCa03
508,Malik Willis,Sun,3,3,2024-09-22,25-120,GNB,@,TEN,W 30-14,QB,WillMa12
509,Jacoby Brissett,Thu,3,3,2024-09-19,31-283,NWE,@,NYJ,L 3-24,QB,BrisJa00
510,Aaron Rodgers,Thu,3,3,2024-09-19,40-292,NYJ,,NWE,W 24-3,QB,RodgAa00
511,Kirk Cousins,Mon,2,2,2024-09-16,36-028,ATL,@,PHI,W 22-21,QB,CousKi00
512,Jalen Hurts,Mon,2,2,2024-09-16,26-040,PHI,,ATL,L 21-22,QB,HurtJa00
513,Jacoby Brissett,Sun,2,2,2024-09-15,31-279,NWE,,SEA,L 20-23 (OT),QB,BrisJa00
514,Joe Burrow,Sun,2,2,2024-09-15,27-280,CIN,@,KAN,L 25-26,QB,BurrJo01
515,Derek Carr,Sun,2,2,2024-09-15,33-171,NOR,@,DAL,W 44-19,QB,CarrDe02
516,Jayden Daniels,Sun,2,2,2024-09-15,23-272,WAS,,NYG,W 21-18,QB,DaniJa02
517,Sam Darnold,Sun,2,2,2024-09-15,27-102,MIN,,SFO,W 23-17,QB,DarnSa00
518,Justin Fields,Sun,2,2,2024-09-15,25-194,PIT,@,DEN,W 13-6,QB,FielJu00
519,Jared Goff,Sun,2,2,2024-09-15,29-337,DET,,TAM,L 16-20,QB,GoffJa00
520,Justin Herbert,Sun,2,2,2024-09-15,26-189,LAC,@,CAR,W 26-3,QB,HerbJu00
521,Lamar Jackson,Sun,2,2,2024-09-15,27-252,BAL,,LVR,L 23-26,QB,JackLa00
522,Daniel Jones,Sun,2,2,2024-09-15,27-111,NYG,@,WAS,L 18-21,QB,JoneDa05
523,Trevor Lawrence,Sun,2,2,2024-09-15,24-345,JAX,,CLE,L 13-18,QB,LawrTr00
524,Will Levis,Sun,2,2,2024-09-15,25-080,TEN,,NYJ,L 17-24,QB,LeviWi00
525,Patrick Mahomes,Sun,2,2,2024-09-15,28-364,KAN,,CIN,W 26-25,QB,MahoPa00
526,Baker Mayfield,Sun,2,2,2024-09-15,29-154,TAM,@,DET,W 20-16,QB,MayfBa00
527,Gardner Minshew II,Sun,2,2,2024-09-15,28-122,LVR,@,BAL,W 26-23,QB,MinsGa00
528,Kyler Murray,Sun,2,2,2024-09-15,27-039,ARI,,LAR,W 41-10,QB,MurrKy00
529,Bo Nix,Sun,2,2,2024-09-15,24-203,DEN,,PIT,L 6-13,QB,NixxBo00
530,Dak Prescott,Sun,2,2,2024-09-15,31-048,DAL,,NOR,L 19-44,QB,PresDa01
531,Brock Purdy,Sun,2,2,2024-09-15,24-263,SFO,@,MIN,L 17-23,QB,PurdBr00
532,Anthony Richardson,Sun,2,2,2024-09-15,22-116,IND,@,GNB,L 10-16,QB,RichAn03
533,Aaron Rodgers,Sun,2,2,2024-09-15,40-288,NYJ,@,TEN,W 24-17,QB,RodgAa00
534,Geno Smith,Sun,2,2,2024-09-15,33-341,SEA,@,NWE,W 23-20 (OT),QB,SmitGe00
535,Matthew Stafford,Sun,2,2,2024-09-15,36-221,LAR,@,ARI,L 10-41,QB,StafMa00
536,C.J. Stroud,Sun,2,2,2024-09-15,22-348,HOU,,CHI,W 19-13,QB,StroCJ00
537,Deshaun Watson,Sun,2,2,2024-09-15,29-001,CLE,@,JAX,W 18-13,QB,WatsDe00
538,Caleb Williams,Sun,2,2,2024-09-15,22-302,CHI,@,HOU,L 13-19,QB,WillCa03
539,Malik Willis,Sun,2,2,2024-09-15,25-113,GNB,,IND,W 16-10,QB,WillMa12
540,Bryce Young,Sun,2,2,2024-09-15,23-052,CAR,,LAC,L 3-26,QB,YounBr01
541,Josh Allen,Thu,2,2,2024-09-12,28-114,BUF,@,MIA,W 31-10,QB,AlleJo02
542,Tua Tagovailoa,Thu,2,2,2024-09-12,26-194,MIA,,BUF,L 10-31,QB,TagoTu00
543,Brock Purdy,Mon,1,1,2024-09-09,24-257,SFO,,NYJ,W 32-19,QB,PurdBr00
544,Aaron Rodgers,Mon,1,1,2024-09-09,40-282,NYJ,@,SFO,L 19-32,QB,RodgAa00
545,Josh Allen,Sun,1,1,2024-09-08,28-110,BUF,,ARI,W 34-28,QB,AlleJo02
546,Jacoby Brissett,Sun,1,1,2024-09-08,31-272,NWE,@,CIN,W 16-10,QB,BrisJa00
547,Joe Burrow,Sun,1,1,2024-09-08,27-273,CIN,,NWE,L 10-16,QB,BurrJo01
548,Derek Carr,Sun,1,1,2024-09-08,33-164,NOR,,CAR,W 47-10,QB,CarrDe02
549,Kirk Cousins,Sun,1,1,2024-09-08,36-020,ATL,,PIT,L 10-18,QB,CousKi00
550,Jayden Daniels,Sun,1,1,2024-09-08,23-265,WAS,@,TAM,L 20-37,QB,DaniJa02
551,Sam Darnold,Sun,1,1,2024-09-08,27-095,MIN,@,NYG,W 28-6,QB,DarnSa00
552,Justin Fields,Sun,1,1,2024-09-08,25-187,PIT,@,ATL,W 18-10,QB,FielJu00
553,Jared Goff,Sun,1,1,2024-09-08,29-330,DET,,LAR,W 26-20 (OT),QB,GoffJa00
554,Justin Herbert,Sun,1,1,2024-09-08,26-182,LAC,,LVR,W 22-10,QB,HerbJu00
555,Daniel Jones,Sun,1,1,2024-09-08,27-104,NYG,,MIN,L 6-28,QB,JoneDa05
556,Trevor Lawrence,Sun,1,1,2024-09-08,24-338,JAX,@,MIA,L 17-20,QB,LawrTr00
557,Will Levis,Sun,1,1,2024-09-08,25-073,TEN,@,CHI,L 17-24,QB,LeviWi00
558,Baker Mayfield,Sun,1,1,2024-09-08,29-147,TAM,,WAS,W 37-20,QB,MayfBa00
559,Gardner Minshew II,Sun,1,1,2024-09-08,28-115,LVR,@,LAC,L 10-22,QB,MinsGa00
560,Kyler Murray,Sun,1,1,2024-09-08,27-032,ARI,@,BUF,L 28-34,QB,MurrKy00
561,Bo Nix,Sun,1,1,2024-09-08,24-196,DEN,@,SEA,L 20-26,QB,NixxBo00
562,Dak Prescott,Sun,1,1,2024-09-08,31-041,DAL,@,CLE,W 33-17,QB,PresDa01
563,Anthony Richardson,Sun,1,1,2024-09-08,22-109,IND,,HOU,L 27-29,QB,RichAn03
564,Geno Smith,Sun,1,1,2024-09-08,33-334,SEA,,DEN,W 26-20,QB,SmitGe00
565,Matthew Stafford,Sun,1,1,2024-09-08,36-214,LAR,@,DET,L 20-26 (OT),QB,StafMa00
566,C.J. Stroud,Sun,1,1,2024-09-08,22-341,HOU,@,IND,W 29-27,QB,StroCJ00
567,Tua Tagovailoa,Sun,1,1,2024-09-08,26-190,MIA,,JAX,W 20-17,QB,TagoTu00
568,Deshaun Watson,Sun,1,1,2024-09-08,28-360,CLE,,DAL,L 17-33,QB,WatsDe00
569,Caleb Williams,Sun,1,1,2024-09-08,22-295,CHI,,TEN,W 24-17,QB,WillCa03
570,Bryce Young,Sun,1,1,2024-09-08,23-045,CAR,@,NOR,L 10-47,QB,YounBr01
571,Jalen Hurts,Fri,1,1,2024-09-06,26-030,PHI,,GNB,W 34-29,QB,HurtJa00
572,Jordan Love,Fri,1,1,2024-09-06,25-309,GNB,@,PHI,L 29-34,QB,LoveJo03
573,Lamar Jackson,Thu,1,1,2024-09-05,27-242,BAL,@,KAN,L 20-27,QB,JackLa00
574,Patrick Mahomes,Thu,1,1,2024-09-05,28-354,KAN,,BAL,W 27-20,QB,MahoPa00
575,Patrick Mahomes,Sun,4,22,2024-02-11,28-147,KAN,N,SFO,W 25-22 (OT),QB,MahoPa00
576,Brock Purdy,Sun,3,22,2024-02-11,24-046,SFO,N,KAN,L 22-25 (OT),QB,PurdBr00
577,Jared Goff,Sun,3,21,2024-01-28,29-106,DET,@,SFO,L 31-34,QB,GoffJa00
578,Lamar Jackson,Sun,2,21,2024-01-28,27-021,BAL,,KAN,L 10-17,QB,JackLa00
579,Patrick Mahomes,Sun,3,21,2024-01-28,28-133,KAN,@,BAL,W 17-10,QB,MahoPa00
580,Brock Purdy,Sun,2,21,2024-01-28,24-032,SFO,,DET,W 34-31,QB,PurdBr00
581,Josh Allen,Sun,2,20,2024-01-21,27-245,BUF,,KAN,L 24-27,QB,AlleJo02
582,Jared Goff,Sun,2,20,2024-01-21,29-099,DET,,TAM,W 31-23,QB,GoffJa00
583,Patrick Mahomes,Sun,2,20,2024-01-21,28-126,KAN,@,BUF,W 27-24,QB,MahoPa00
584,Baker Mayfield,Sun,2,20,2024-01-21,28-282,TAM,@,DET,L 23-31,QB,MayfBa00
585,Lamar Jackson,Sat,1,20,2024-01-20,27-013,BAL,,HOU,W 34-10,QB,JackLa00
586,Jordan Love,Sat,2,20,2024-01-20,25-079,GNB,@,SFO,L 21-24,QB,LoveJo03
587,Brock Purdy,Sat,1,20,2024-01-20,24-024,SFO,,GNB,W 24-21,QB,PurdBr00
588,C.J. Stroud,Sat,2,20,2024-01-20,22-109,HOU,@,BAL,L 10-34,QB,StroCJ00
589,Josh Allen,Mon,1,19,2024-01-15,27-239,BUF,,PIT,W 31-17,QB,AlleJo02
590,Jalen Hurts,Mon,1,19,2024-01-15,25-161,PHI,@,TAM,L 9-32,QB,HurtJa00
591,Baker Mayfield,Mon,1,19,2024-01-15,28-276,TAM,,PHI,W 32-9,QB,MayfBa00
592,Mason Rudolph,Mon,1,19,2024-01-15,28-182,PIT,@,BUF,L 17-31,QB,RudoMa00
593,Jared Goff,Sun,1,19,2024-01-14,29-092,DET,,LAR,W 24-23,QB,GoffJa00
594,Jordan Love,Sun,1,19,2024-01-14,25-073,GNB,@,DAL,W 48-32,QB,LoveJo03
595,Dak Prescott,Sun,1,19,2024-01-14,30-169,DAL,,GNB,L 32-48,QB,PresDa01
596,Matthew Stafford,Sun,1,19,2024-01-14,35-341,LAR,@,DET,L 23-24,QB,StafMa00
597,Joe Flacco,Sat,1,19,2024-01-13,38-362,CLE,@,HOU,L 14-45,QB,FlacJo00
598,Patrick Mahomes,Sat,1,19,2024-01-13,28-118,KAN,,MIA,W 26-7,QB,MahoPa00
599,C.J. Stroud,Sat,1,19,2024-01-13,22-102,HOU,,CLE,W 45-14,QB,StroCJ00
600,Tua Tagovailoa,Sat,1,19,2024-01-13,25-317,MIA,@,KAN,L 7-26,QB,TagoTu00
