Rk,Player,Day,G#,Week,Date,Age,Team,,Opp,Result,Pos.,Player-additional
401,Will Levis,Sun,5,6,2024-10-13,25-108,TEN,,IND,L 17-20,QB,LeviWi00
402,Jordan Love,Sun,6,6,2024-10-13,25-346,GNB,,ARI,W 34-13,QB,LoveJo03
403,Drake Maye,Sun,6,6,2024-10-13,22-044,NWE,,HOU,L 21-41,QB,MayeDr00
404,Baker Mayfield,Sun,6,6,2024-10-13,29-182,TAM,@,NOR,W 51-27,QB,MayfBa00
405,Kyler Murray,Sun,6,6,2024-10-13,27-067,ARI,@,GNB,L 13-34,QB,MurrKy00
406,Bo Nix,Sun,6,6,2024-10-13,24-231,DEN,,LAC,L 16-23,QB,NixxBo00
407,Aidan O'Connell,Sun,6,6,2024-10-13,26-042,LVR,,PIT,L 13-32,QB,OConAi00
408,Dak Prescott,Sun,6,6,2024-10-13,31-076,DAL,,DET,L 9-47,QB,PresDa01
409,Spencer Rattler,Sun,6,6,2024-10-13,24-015,NOR,,TAM,L 27-51,QB,RattSp00
410,C.J. Stroud,Sun,6,6,2024-10-13,23-010,HOU,@,NWE,W 41-21,QB,StroCJ00
411,Deshaun Watson,Sun,6,6,2024-10-13,29-029,CLE,@,PHI,L 16-20,QB,WatsDe00
412,Caleb Williams,Sun,6,6,2024-10-13,22-330,CHI,,JAX,W 35-16,QB,WillCa03
413,Brock Purdy,Thu,6,6,2024-10-10,24-288,SFO,@,SEA,W 36-24,QB,PurdBr00
414,Geno Smith,Thu,6,6,2024-10-10,34-000,SEA,,SFO,L 24-36,QB,SmitGe00
415,Derek Carr,Mon,5,5,2024-10-07,33-193,NOR,@,KAN,L 13-26,QB,CarrDe02
416,Patrick Mahomes,Mon,5,5,2024-10-07,29-020,KAN,,NOR,W 26-13,QB,MahoPa00
417,Josh Allen,Sun,5,5,2024-10-06,28-138,BUF,@,HOU,L 20-23,QB,AlleJo02
418,Jacoby Brissett,Sun,5,5,2024-10-06,31-300,NWE,,MIA,L 10-15,QB,BrisJa00
419,Joe Burrow,Sun,5,5,2024-10-06,27-301,CIN,,BAL,L 38-41 (OT),QB,BurrJo01
