family,model,bucket,N,wins,losses,pushes,hit_rate,avg_american,avg_decimal,avg_breakeven,exp_wins,realized_minus_exp,hr_minus_be,profit,roi,avg_implied_ev,unique_weeks,longest_losing_streak,max_drawdown,worst_rolling10,boot_point_roi,boot_2p5,boot_97p5,boot_p_pos,largest_season_share,largest_sel_team_share,per_season,status
ML_XGB_DISAGREEMENT,XGB,12+,287,84,202,1,0.2927,252.66,3.7353,0.3176,91.15,-7.15,-0.0249,-19.68,-0.0686,0.7043,53,13,33.34,-10.0,-0.0686,-0.2802,0.1571,0.2654,0.3798,0.0627,"{""2020"": {""N"": 96, ""hit_rate"": 0.25, ""profit"": -18.95, ""roi"": -0.1974}, ""2021"": {""N"": 82, ""hit_rate"": 0.3415, ""profit"": 12.14, ""roi"": 0.148}, ""2022"": {""N"": 109, ""hit_rate"": 0.2936, ""profit"": -12.88, ""roi"": -0.1181}}",DISCOVERY_NEGATIVE
ML_XGB_DISAGREEMENT,XGB,ALL,733,266,464,3,0.3629,161.34,3.1526,0.3883,284.59,-18.59,-0.0254,-57.06,-0.0778,0.3571,53,13,58.11,-10.0,-0.0778,-0.1659,0.0119,0.0486,0.3411,0.0505,"{""2020"": {""N"": 234, ""hit_rate"": 0.3632, ""profit"": -19.74, ""roi"": -0.0844}, ""2021"": {""N"": 250, ""hit_rate"": 0.372, ""profit"": -0.73, ""roi"": -0.0029}, ""2022"": {""N"": 249, ""hit_rate"": 0.3534, ""profit"": -36.59, ""roi"": -0.147}}",DISCOVERY_NEGATIVE
ML_AVG_DISAGREEMENT,AVG,0-2,136,75,61,0,0.5515,33.69,2.519,0.484,65.83,9.17,0.0675,21.0,0.1544,0.002,56,5,9.29,-5.39,0.1544,-0.0562,0.3626,0.9274,0.375,0.0662,"{""2020"": {""N"": 42, ""hit_rate"": 0.5476, ""profit"": 6.05, ""roi"": 0.1441}, ""2021"": {""N"": 43, ""hit_rate"": 0.5116, ""profit"": 8.02, ""roi"": 0.1865}, ""2022"": {""N"": 51, ""hit_rate"": 0.5882, ""profit"": 6.93, ""roi"": 0.1358}}",DISCOVERY_POSITIVE
ML_AVG_DISAGREEMENT,AVG,2-4,111,54,55,2,0.4865,36.98,2.5205,0.4748,52.7,1.3,0.0117,4.87,0.0438,0.0477,48,4,10.0,-5.96,0.0438,-0.1477,0.2259,0.674,0.4324,0.0631,"{""2020"": {""N"": 35, ""hit_rate"": 0.5143, ""profit"": 2.28, ""roi"": 0.0652}, ""2021"": {""N"": 48, ""hit_rate"": 0.5208, ""profit"": 9.43, ""roi"": 0.1966}, ""2022"": {""N"": 28, ""hit_rate"": 0.3929, ""profit"": -6.85, ""roi"": -0.2447}}",DISCOVERY_POSITIVE
ML_AVG_DISAGREEMENT,AVG,4-8,208,78,130,0,0.375,136.23,3.0455,0.4093,85.14,-7.14,-0.0343,-17.57,-0.0845,0.158,58,7,26.51,-8.56,-0.0845,-0.2676,0.106,0.1818,0.3846,0.0577,"{""2020"": {""N"": 80, ""hit_rate"": 0.3875, ""profit"": -14.79, ""roi"": -0.1848}, ""2021"": {""N"": 70, ""hit_rate"": 0.4, ""profit"": 12.58, ""roi"": 0.1797}, ""2022"": {""N"": 58, ""hit_rate"": 0.3276, ""profit"": -15.36, ""roi"": -0.2648}}",DISCOVERY_NEGATIVE
ML_AVG_DISAGREEMENT,AVG,8-12,169,57,110,2,0.3373,172.98,3.1436,0.3769,63.7,-6.7,-0.0396,-18.02,-0.1066,0.2831,55,12,26.93,-10.0,-0.1066,-0.3211,0.1377,0.1812,0.4083,0.071,"{""2020"": {""N"": 44, ""hit_rate"": 0.3636, ""profit"": 2.22, ""roi"": 0.0504}, ""2021"": {""N"": 56, ""hit_rate"": 0.2679, ""profit"": -15.26, ""roi"": -0.2725}, ""2022"": {""N"": 69, ""hit_rate"": 0.3768, ""profit"": -4.98, ""roi"": -0.0721}}",DISCOVERY_NEGATIVE
ML_AVG_DISAGREEMENT,AVG,12+,214,64,150,0,0.2991,250.73,3.6505,0.3173,67.89,-3.89,-0.0182,-19.22,-0.0898,0.5942,57,12,26.48,-10.0,-0.0898,-0.3008,0.1282,0.1996,0.3645,0.0794,"{""2020"": {""N"": 68, ""hit_rate"": 0.2647, ""profit"": -13.39, ""roi"": -0.1969}, ""2021"": {""N"": 68, ""hit_rate"": 0.3235, ""profit"": -2.92, ""roi"": -0.0429}, ""2022"": {""N"": 78, ""hit_rate"": 0.3077, ""profit"": -2.91, ""roi"": -0.0373}}",DISCOVERY_NEGATIVE
ML_AVG_DISAGREEMENT,AVG,ALL,838,328,506,4,0.3914,143.09,3.0648,0.4001,335.26,-7.26,-0.0087,-28.94,-0.0345,0.2547,65,9,39.24,-8.76,-0.0345,-0.1223,0.0509,0.202,0.3401,0.0477,"{""2020"": {""N"": 269, ""hit_rate"": 0.3941, ""profit"": -17.62, ""roi"": -0.0655}, ""2021"": {""N"": 285, ""hit_rate"": 0.393, ""profit"": 11.85, ""roi"": 0.0416}, ""2022"": {""N"": 284, ""hit_rate"": 0.3873, ""profit"": -23.17, ""roi"": -0.0816}}",DISCOVERY_NEGATIVE
ML_CORROBORATED_DISAGREEMENT,CORROB,0-2,14,6,8,0,0.4286,221.29,3.5389,0.3699,5.18,0.82,0.0586,5.26,0.376,0.0093,12,4,4.0,3.8,0.376,-0.5579,1.71,0.736,0.4286,0.1429,"{""2020"": {""N"": 3, ""hit_rate"": 0.3333, ""profit"": -0.72, ""roi"": -0.24}, ""2021"": {""N"": 6, ""hit_rate"": 0.5, ""profit"": 7.8, ""roi"": 1.3}, ""2022"": {""N"": 5, ""hit_rate"": 0.4, ""profit"": -1.82, ""roi"": -0.3631}}",DISCOVERY_LIMITED_SAMPLE
ML_CORROBORATED_DISAGREEMENT,CORROB,2-4,34,14,20,0,0.4118,109.91,2.9077,0.4282,14.56,-0.56,-0.0164,-4.62,-0.1359,0.0644,29,5,9.58,-7.68,-0.1359,-0.5076,0.2486,0.2426,0.3529,0.1176,"{""2020"": {""N"": 10, ""hit_rate"": 0.6, ""profit"": 3.36, ""roi"": 0.3362}, ""2021"": {""N"": 12, ""hit_rate"": 0.25, ""profit"": -6.08, ""roi"": -0.5066}, ""2022"": {""N"": 12, ""hit_rate"": 0.4167, ""profit"": -1.9, ""roi"": -0.1585}}",DISCOVERY_NEGATIVE
