candidate_id,conf_N,conf_wins,conf_losses,conf_pushes,conf_hit_rate,conf_avg_american,conf_avg_decimal,conf_avg_breakeven,conf_exp_wins,conf_realized_minus_exp,conf_hr_minus_be,conf_profit,conf_roi,conf_avg_implied_ev,conf_unique_weeks,disc_N,disc_roi,disc_hr_minus_be,boot_p2p5,boot_p97p5,boot_p_pos,longest_losing_streak,max_drawdown,worst_rolling10,conf_per_season,pooled_N,pooled_roi,pooled_boot_p2p5,pooled_boot_p97p5,final_label
ML_DOG_VALUE_ZONE_AVG,112,35,77,0,0.3125,147.11,2.4711,0.4077,45.66,-10.66,-0.0952,-26.57,-0.2372,0.1028,37,149,0.252,0.0972,-0.4434,-0.0368,0.0108,8,29.99,-7.7,"{""2023"": {""N"": 63, ""hit_rate"": 0.2857, ""profit"": -19.16, ""roi"": -0.3041}, ""2024"": {""N"": 49, ""hit_rate"": 0.3469, ""profit"": -7.41, ""roi"": -0.1512}}",261,0.0421,-0.096,0.1849,FAILED_TO_VALIDATE
ML_CORROBORATED_DOG_VALUE_ZONE,55,15,40,0,0.2727,153.49,2.5349,0.3978,21.88,-6.88,-0.1251,-17.52,-0.3185,0.1541,28,85,0.2807,0.1036,-0.5619,-0.0746,0.0068,6,17.52,-5.4,"{""2023"": {""N"": 34, ""hit_rate"": 0.2941, ""profit"": -8.7, ""roi"": -0.2559}, ""2024"": {""N"": 21, ""hit_rate"": 0.2381, ""profit"": -8.82, ""roi"": -0.42}}",140,0.0453,-0.1537,0.2431,FAILED_TO_VALIDATE
ML_AVG_0_2,104,43,61,0,0.4135,46.49,2.4642,0.467,48.56,-5.56,-0.0535,-15.23,-0.1464,-0.005,40,136,0.1544,0.0675,-0.3975,0.1148,0.1272,12,27.97,-10.0,"{""2023"": {""N"": 50, ""hit_rate"": 0.26, ""profit"": -22.32, ""roi"": -0.4464}, ""2024"": {""N"": 54, ""hit_rate"": 0.5556, ""profit"": 7.09, ""roi"": 0.1313}}",240,0.024,-0.1388,0.1874,FAILED_TO_VALIDATE
SPREAD_0_4_DISCOVERY_UNION,342,170,163,9,0.4971,-95.82,1.9316,0.5179,177.12,-7.12,-0.0208,-4.64,-0.0136,,42,467,0.0974,0.0429,-0.1226,0.0928,0.4088,7,24.32,-7.09,"{""2023"": {""N"": 165, ""hit_rate"": 0.4424, ""profit"": -17.4, ""roi"": -0.1054}, ""2024"": {""N"": 177, ""hit_rate"": 0.548, ""profit"": 12.76, ""roi"": 0.0721}}",809,0.0505,-0.0166,0.1166,FAILED_TO_VALIDATE
