game_id,season,selected_side,p_model,edge_pp,price_american,home_team,away_team,home_score,away_score,ledger_w,recomputed_w,ledger_profit,recomputed_profit,match
2021_15_HOU_JAX,2021,away,0.4601988351591153,14.601404244671523,198,JAX,HOU,16,30,1,1,1.98,1.98,true
2021_17_MIA_TEN,2021,away,0.444319057919325,2.6652955968539227,138,TEN,MIA,34,3,0,0,-1.0,-1.0,true
2021_18_LAC_LV,2021,home,0.4977365944491297,11.645409878188529,145,LV,LAC,35,32,1,1,1.45,1.45,true
2021_18_NO_ATL,2021,home,0.46413174454128947,11.119056807070121,180,ATL,NO,20,30,0,0,-1.0,-1.0,true
2021_18_SEA_ARI,2021,away,0.4549462312959818,12.533214592388642,190,ARI,SEA,30,38,1,1,1.9,1.9,true
2021_20_LA_TB,2021,away,0.43722555210882974,1.718609901040108,130,TB,LAR,27,30,1,1,1.3,1.3,true
2022_03_KC_IND,2022,home,0.4412201450080052,11.444912677337554,198,IND,KC,20,17,1,1,1.98,1.98,true
2022_03_PIT_CLE,2022,away,0.4701495419989722,13.084103310167027,172,CLE,PIT,29,17,0,0,-1.0,-1.0,true
2022_04_BUF_BAL,2022,home,0.48772077769978384,9.765503628269107,152,BAL,BUF,20,23,0,0,-1.0,-1.0,true
2022_04_CHI_NYG,2022,away,0.49426474375376794,7.249743586363317,132,NYG,CHI,20,12,0,0,-1.0,-1.0,true
2022_04_DEN_LV,2022,away,0.45973848006412454,3.1995267394441362,125,LV,DEN,32,23,0,0,-1.0,-1.0,true
2022_04_MIN_NO,2022,home,0.4932939410845387,14.675251570493902,170,NO,MIN,25,28,0,0,-1.0,-1.0,true
2022_04_TEN_IND,2022,away,0.4646086814564274,12.039396346502157,165,IND,TEN,17,24,1,1,1.65,1.65,true
2022_05_CIN_BAL,2022,away,0.45685822230211737,6.173194715601077,140,BAL,CIN,19,17,0,0,-1.0,-1.0,true
2022_05_DAL_LA,2022,away,0.46131135243861376,12.78517883554698,198,LAR,DAL,10,22,1,1,1.98,1.98,true
2022_05_IND_DEN,2022,away,0.47612532685740194,9.717102105775343,150,DEN,IND,9,12,1,1,1.5,1.5,true
2022_05_SEA_NO,2022,away,0.4590357581333704,13.152484110280266,200,NO,SEA,39,32,0,0,-1.0,-1.0,true
2022_06_BAL_NYG,2022,home,0.4809929648432514,16.290984420022824,200,NYG,BAL,24,20,1,1,2.0,2.0,true
2022_06_NE_CLE,2022,away,0.4515785925360283,2.3835379866345097,130,CLE,NE,15,38,1,1,1.3,1.3,true
2022_06_SF_ATL,2022,home,0.46050975681548845,9.808641123416894,175,ATL,SF,28,14,1,1,1.75,1.75,true
2022_07_GB_WAS,2022,home,0.4570514957916863,10.538194755179825,175,WAS,GB,23,21,1,1,1.75,1.75,true
2022_07_NO_ARI,2022,away,0.46819909584471764,3.319397813745051,125,ARI,NO,42,34,0,0,-1.0,-1.0,true
2022_07_SEA_LAC,2022,away,0.448638345113635,11.7649515986618,185,LAC,SEA,23,37,1,1,1.85,1.85,true
2022_08_CIN_CLE,2022,home,0.4675457330566323,8.384186216169942,155,CLE,CIN,32,13,1,1,1.55,1.55,true
2022_08_MIA_DET,2022,home,0.444324494278606,8.652096979218793,160,DET,MIA,27,31,0,0,-1.0,-1.0,true
2022_09_BAL_NO,2022,home,0.48943734473612416,2.2147625109955884,115,NO,BAL,13,27,0,0,-1.0,-1.0,true
2022_09_MIA_CHI,2022,home,0.4674792760945209,10.290385455418965,160,CHI,MIA,32,35,0,0,-1.0,-1.0,true
2022_10_ATL_CAR,2022,home,0.49776492645664555,7.705073846923282,125,CAR,ATL,25,15,1,1,1.25,1.25,true
2022_10_DAL_GB,2022,home,0.454017203411351,9.745710188237295,172,GB,DAL,31,28,1,1,1.72,1.72,true
2022_11_CIN_PIT,2022,home,0.4543027579840644,8.222574731167759,160,PIT,CIN,30,37,0,0,-1.0,-1.0,true
2022_11_LV_DEN,2022,away,0.47017588918205966,4.772567795695403,122,DEN,LV,16,22,1,1,1.22,1.22,true
2022_13_BUF_NE,2022,home,0.4089899606065635,4.784425699510653,175,NE,BUF,10,24,0,0,-1.0,-1.0,true
2022_13_LAC_LV,2022,away,0.4489697600146134,0.9470975649548907,118,LV,LAC,27,20,0,0,-1.0,-1.0,true
2022_13_MIA_SF,2022,away,0.45391687640688994,12.505013892833777,195,SF,MIA,33,17,0,0,-1.0,-1.0,true
2022_16_LAC_IND,2022,home,0.4458212098955269,8.211136952373465,170,IND,LAC,3,20,0,0,-1.0,-1.0,true
2022_17_MIN_GB,2022,away,0.47129660560684616,8.902397380680416,148,GB,MIN,41,17,0,0,-1.0,-1.0,true
2023_03_ATL_DET,2023,away,0.4272254481522295,3.577884847940871,142,DET,ATL,20,6,0,0,-1.0,-1.0,true
2023_03_BUF_WAS,2023,home,0.4489718384101784,12.528413854277337,200,WAS,BUF,3,37,0,0,-1.0,-1.0,true
2023_03_TEN_CLE,2023,away,0.41963968721042066,4.072790005525767,148,CLE,TEN,27,3,0,0,-1.0,-1.0,true
2023_04_ATL_JAX,2023,away,0.4931489730872056,9.966949023166883,150,JAX,ATL,23,7,0,0,-1.0,-1.0,true
2023_04_DEN_CHI,2023,home,0.47921942078065893,6.722098409488519,142,CHI,DEN,28,31,0,0,-1.0,-1.0,true
2023_04_MIN_CAR,2023,home,0.43671179582193287,8.45991197655948,180,CAR,MIN,13,21,0,0,-1.0,-1.0,true
2023_04_TB_NO,2023,away,0.45326235855621566,10.510165490510936,176,NO,TB,9,26,1,1,1.76,1.76,true
2023_05_BAL_PIT,2023,home,0.44103817290249026,10.991915515368822,190,PIT,BAL,17,10,1,1,1.9,1.9,true
2023_05_NYJ_DEN,2023,away,0.480654895146271,4.564977743900389,114,DEN,NYJ,21,31,1,1,1.14,1.14,true
2023_06_DET_TB,2023,home,0.4799631862281143,7.50667643825399,136,TB,DET,6,20,0,0,-1.0,-1.0,true
2023_07_WAS_NYG,2023,home,0.44997558746744004,4.824505594704448,130,NYG,WAS,14,7,1,1,1.3,1.3,true
2023_08_CLE_SEA,2023,away,0.43158292472842086,7.665092348556129,176,SEA,CLE,24,20,0,0,-1.0,-1.0,true
2023_09_LA_GB,2023,away,0.4326768950126556,7.813446889549002,168,GB,LAR,20,3,0,0,-1.0,-1.0,true
2023_09_TB_HOU,2023,away,0.48751906511934795,6.400998992487949,124,HOU,TB,39,37,0,0,-1.0,-1.0,true
2023_09_WAS_NE,2023,away,0.44362360170779325,2.829448233790216,130,NE,WAS,17,20,1,1,1.3,1.3,true
2023_10_SF_JAX,2023,home,0.4974442831905821,10.64245564650429,146,JAX,SF,3,34,0,0,-1.0,-1.0,true
2023_11_CIN_BAL,2023,away,0.4174156824805716,5.497048519081471,164,BAL,CIN,34,20,0,0,-1.0,-1.0,true
2023_11_LAC_GB,2023,home,0.485650387986484,7.693104193743771,130,GB,LAC,23,20,1,1,1.3,1.3,true
2023_12_BAL_LAC,2023,home,0.4212182667399826,2.8702625139227056,145,LAC,BAL,10,20,0,0,-1.0,-1.0,true
2023_12_LA_ARI,2023,home,0.4591739937246836,3.808188195626727,126,ARI,LAR,14,37,0,0,-1.0,-1.0,true
2023_13_CLE_LA,2023,away,0.4654104250358694,8.55381502065366,160,LAR,CLE,36,19,0,0,-1.0,-1.0,true
2023_13_LAC_NE,2023,home,0.4185579933574156,7.540386273673971,185,NE,LAC,0,6,0,0,-1.0,-1.0,true
2023_14_GB_NYG,2023,home,0.43349190304860385,11.32679380239639,200,NYG,GB,24,22,1,1,2.0,2.0,true
2023_14_PHI_DAL,2023,away,0.43253924511806763,6.0025969378985415,156,DAL,PHI,33,13,0,0,-1.0,-1.0,true
2023_15_BAL_JAX,2023,home,0.40748049693485044,4.883019318000131,180,JAX,BAL,7,23,0,0,-1.0,-1.0,true
2023_15_HOU_TEN,2023,away,0.4633994978627314,6.421927028411889,142,TEN,HOU,16,19,1,1,1.42,1.42,true
2023_15_LAC_LV,2023,away,0.4859308260810066,7.3303107977784165,136,LV,LAC,63,21,0,0,-1.0,-1.0,true
2023_16_IND_ATL,2023,away,0.4811837238860355,6.688975673244962,132,ATL,IND,29,10,0,0,-1.0,-1.0,true
2023_17_DET_DAL,2023,away,0.42225928728418194,8.250843790705847,194,DAL,DET,20,19,0,0,-1.0,-1.0,true
2023_17_PIT_SEA,2023,away,0.4058562738362339,6.384391726077054,168,SEA,PIT,23,30,1,1,1.68,1.68,true
2023_18_BUF_MIA,2023,home,0.48323148422952533,5.1887127651523866,130,MIA,BUF,14,21,0,0,-1.0,-1.0,true
2023_18_DEN_LV,2023,away,0.4252330459707554,2.407722536886797,140,LV,DEN,27,14,0,0,-1.0,-1.0,true
2023_18_JAX_TEN,2023,home,0.44334005378050045,6.346777895116768,150,TEN,JAX,28,20,1,1,1.5,1.5,true
2023_19_MIA_KC,2023,away,0.44277628597684016,11.924687421213426,195,KC,MIA,26,7,0,0,-1.0,-1.0,true
2024_04_LA_CHI,2024,away,0.47576880375345487,7.7569093630638575,138,CHI,LAR,24,18,0,0,-1.0,-1.0,true
2024_04_MIN_GB,2024,away,0.4665312016555023,3.0773313886141462,124,GB,MIN,29,31,1,1,1.24,1.24,true
2024_04_SEA_DET,2024,away,0.4235472224215866,7.583090385376473,185,DET,SEA,42,29,0,0,-1.0,-1.0,true
2024_04_WAS_ARI,2024,away,0.4411935515073344,6.776063606321597,152,ARI,WAS,14,42,1,1,1.52,1.52,true
2024_05_GB_LA,2024,home,0.46452130497156313,5.125734290623124,130,LAR,GB,19,24,0,0,-1.0,-1.0,true
2024_05_IND_JAX,2024,away,0.48937326408630555,12.306351461143489,160,JAX,IND,37,34,0,0,-1.0,-1.0,true
2024_06_IND_TEN,2024,away,0.4695767872467278,3.3818899477366937,120,TEN,IND,17,20,1,1,1.2,1.2,true
2024_06_SF_SEA,2024,home,0.48178656818687204,11.3720212562196,172,SEA,SF,24,36,0,0,-1.0,-1.0,true
2024_07_BAL_TB,2024,home,0.47007449953929026,12.235818097146838,180,TB,BAL,31,41,0,0,-1.0,-1.0,true
2024_07_PHI_NYG,2024,home,0.48397274672315704,8.265257379909801,140,NYG,PHI,3,28,0,0,-1.0,-1.0,true
2024_09_NE_TEN,2024,away,0.4472608945920924,7.246239915952923,146,TEN,NE,20,17,0,0,-1.0,-1.0,true
2024_11_IND_NYJ,2024,away,0.4298350914430922,8.94002133407421,172,NYJ,IND,27,28,1,1,1.72,1.72,true
2024_11_KC_BUF,2024,away,0.46096175156193175,3.8511540336826133,114,BUF,KC,30,21,0,0,-1.0,-1.0,true
2024_11_LA_NE,2024,home,0.47821158294646077,13.167015756686107,176,NE,LAR,22,28,0,0,-1.0,-1.0,true
2024_12_BAL_LAC,2024,home,0.464719921035192,5.862855047681636,140,LAC,BAL,23,30,0,0,-1.0,-1.0,true
2024_14_CIN_DAL,2024,home,0.4865730639995347,14.72645551022328,180,DAL,CIN,20,27,0,0,-1.0,-1.0,true
2024_14_JAX_TEN,2024,away,0.4860193254596902,8.781961533687388,150,TEN,JAX,6,10,1,1,1.5,1.5,true
2024_15_GB_SEA,2024,home,0.4472894604080795,2.657527242066676,130,SEA,GB,13,30,0,0,-1.0,-1.0,true
2024_15_MIA_HOU,2024,away,0.47323629579671944,5.829853646061989,128,HOU,MIA,20,12,0,0,-1.0,-1.0,true
2024_17_DEN_CIN,2024,away,0.4879140744704159,10.987331181426862,156,CIN,DEN,30,24,0,0,-1.0,-1.0,true
2024_18_JAX_IND,2024,away,0.4701118980418315,10.975595462016607,164,IND,JAX,26,23,0,0,-1.0,-1.0,true
