game_id,season,selected_side,p_model,price_american,pin_no_vig_side,pin_am_side,pin_am_opp,plus_money_on_selected,underdog_by_novig,underdog_by_offered,favorite_by_novig,price_is_opponent_price
2022_04_DEN_LV,2022,away,0.45973848006412454,125,0.4277432126696832,128,-142,true,true,true,false,false
2022_04_MIN_NO,2022,home,0.4932939410845387,170,0.3465414253795997,181,-204,true,true,true,false,false
2022_04_TEN_IND,2022,away,0.4646086814564274,165,0.34421471799140585,183,-206,true,true,true,false,false
2022_05_CIN_BAL,2022,away,0.45685822230211737,140,0.3951262751461066,147,-163,true,true,true,false,false
2022_05_DAL_LA,2022,away,0.46131135243861376,198,0.333459564083144,192,-217,true,true,true,false,false
2022_05_IND_DEN,2022,away,0.47612532685740194,150,0.3789543057996485,157,-176,true,true,true,false,false
2022_05_SEA_NO,2022,away,0.4590357581333704,200,0.3275109170305677,197,-224,true,true,true,false,false
2022_06_BAL_NYG,2022,home,0.4809929648432514,200,0.31808312064302313,206,-234,true,true,true,false,false
2022_06_NE_CLE,2022,away,0.4515785925360283,130,0.4277432126696832,128,-142,true,true,true,false,false
2022_06_SF_ATL,2022,home,0.46050975681548845,175,0.3624233455813195,169,-189,true,true,true,false,false
2022_07_GB_WAS,2022,home,0.4570514957916863,175,0.35166954823988805,177,-199,true,true,true,false,false
2022_07_NO_ARI,2022,away,0.46819909584471764,125,0.43500511770726713,124,-138,true,true,true,false,false
2022_07_SEA_LAC,2022,away,0.448638345113635,185,0.330988829127017,194,-220,true,true,true,false,false
2022_08_CIN_CLE,2022,home,0.4675457330566323,155,0.38370387089493285,154,-172,true,true,true,false,false
2022_08_MIA_DET,2022,home,0.444324494278606,160,0.35780352448641806,172,-194,true,true,true,false,false
2022_09_BAL_NO,2022,home,0.48943734473612416,115,0.4672897196261683,109,-120,true,true,true,false,false
2022_09_MIA_CHI,2022,home,0.4674792760945209,160,0.36457542154033123,167,-188,true,true,true,false,false
2022_10_ATL_CAR,2022,home,0.49776492645664555,125,0.4207141879874127,132,-146,true,true,true,false,false
