game_id,season,season_week,family,model,bucket,selected_side,price_american,price_decimal,edge_pp,p_model,implied_ev,w,p_push,profit,breakeven,reconstructed_line,reconstructed_book
2020_02_BAL_HOU,2020,02,ML_QBELO_DISAGREEMENT,QB_ELO,12+,home,280,3.8,13.161361407239264,0.3845755470988222,0.46138707897552433,0,0,-1.0,0.2631578947368421,7.5,draftkings
2020_02_BAL_HOU,2020,02,LONG_DOG_201+_CONTEXT,QB_ELO,LONG201+,home,280,3.8,13.161361407239264,0.3845755470988222,0.46138707897552433,0,0,-1.0,0.2631578947368421,7.5,draftkings
2020_02_BUF_MIA,2020,02,ML_QBELO_DISAGREEMENT,QB_ELO,4-8,home,205,3.05,7.669647231006371,0.3908812650224638,0.19218785831851437,0,0,-1.0,0.3278688524590164,5.5,draftkings
2020_02_BUF_MIA,2020,02,LONG_DOG_201+_CONTEXT,QB_ELO,LONG201+,home,205,3.05,7.669647231006371,0.3908812650224638,0.19218785831851437,0,0,-1.0,0.3278688524590164,5.5,draftkings
2020_02_CAR_TB,2020,02,ML_QBELO_DISAGREEMENT,QB_ELO,8-12,away,295,3.95,10.46470312908816,0.3470873495932688,0.3709950308934118,0,0,-1.0,0.2531645569620253,8.5,draftkings
2020_02_CAR_TB,2020,02,LONG_DOG_201+_CONTEXT,QB_ELO,LONG201+,away,295,3.95,10.46470312908816,0.3470873495932688,0.3709950308934118,0,0,-1.0,0.2531645569620253,8.5,draftkings
2020_02_CIN_CLE,2020,02,ML_QBELO_DISAGREEMENT,QB_ELO,2-4,away,215,3.15,3.383837305576698,0.343024064229594,0.08052580232322093,0,0,-1.0,0.31746031746031744,6.0,draftkings
2020_02_CIN_CLE,2020,02,LONG_DOG_201+_CONTEXT,QB_ELO,LONG201+,away,215,3.15,3.383837305576698,0.343024064229594,0.08052580232322093,0,0,-1.0,0.31746031746031744,6.0,draftkings
2020_02_DEN_PIT,2020,02,ML_QBELO_DISAGREEMENT,QB_ELO,4-8,away,240,3.4,7.2782981520627015,0.36895477748028893,0.2544462434329824,0,0,-1.0,0.29411764705882354,6.5,fanduel
2020_02_DEN_PIT,2020,02,LONG_DOG_201+_CONTEXT,QB_ELO,LONG201+,away,240,3.4,7.2782981520627015,0.36895477748028893,0.2544462434329824,0,0,-1.0,0.29411764705882354,6.5,fanduel
2020_02_DET_GB,2020,02,ML_QBELO_DISAGREEMENT,QB_ELO,12+,home,-263,1.3802281368821292,12.896017042858999,0.8340540042087508,0.15118480428812364,1,0,0.380228,0.7245179063360881,6.5,fanduel
