season,week,season_type,game_id,away_team,home_team,feature_as_of_utc,historical_identity_usage,feature_builder,away_actual_starting_qb_gsis_id,home_actual_starting_qb_gsis_id,away_passing_epa,home_passing_epa,away_prior_dropbacks,home_prior_dropbacks,qb_passing_epa_net_home_minus_away
2018,2,REG,2018_02_HOU_TEN,HOU,TEN,2018-09-11T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0033537,00-0027948,-0.0766892973880128,-0.07151203546506141,37.0,22.0,0.005177261922951398
2018,2,REG,2018_02_IND_WAS,IND,WAS,2018-09-11T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0029668,00-0023436,-0.017775170992754143,0.002939105397131242,55.0,33.0,0.020714276389885385
2018,2,REG,2018_02_KC_PIT,KC,PIT,2018-09-11T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0033873,00-0022924,0.0009068731366434213,-0.06504227533571674,28.0,45.0,-0.06594914847236016
2018,2,REG,2018_02_LAC_BUF,LAC,BUF,2018-09-11T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0022942,00-0034857,0.0119799879881263,-0.06124367470408583,52.0,18.0,-0.07322366269221213
2018,2,REG,2018_02_MIA_NYJ,MIA,NYJ,2018-09-11T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0029701,00-0034869,-0.03688141652424653,-0.0191065942266898,29.0,23.0,0.01777482229755673
2018,2,REG,2018_02_MIN_GB,MIN,GB,2018-09-11T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0029604,00-0023459,-0.04255657357976746,-0.00912231836728642,39.0,32.0,0.033434255212481036
2018,2,REG,2018_02_NE_JAX,NE,JAX,2018-09-11T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0019596,00-0031407,-0.014835416067670082,-0.05906745925272697,41.0,34.0,-0.044232043185056885
2018,2,REG,2018_02_NYG_DAL,NYG,DAL,2018-09-11T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0022803,00-0033077,-0.08407680159223532,-0.0752983165108705,39.0,35.0,0.00877848508136482
2018,2,REG,2018_02_OAK_DEN,LV,DEN,2018-09-11T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0031280,00-0028986,-0.08642343515187892,-0.05633531589673636,41.0,40.0,0.030088119255142556
2018,2,REG,2018_02_PHI_TB,PHI,TB,2018-09-11T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0029567,00-0023682,-0.08274227085298488,0.05996559980337886,36.0,28.0,0.14270787065636376
2018,2,REG,2018_02_SEA_CHI,SEA,CHI,2018-09-11T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0029263,00-0033869,-0.029078231090638437,-0.06058973386283166,39.0,39.0,-0.03151150277219322
2018,3,REG,2018_03_BUF_MIN,BUF,MIN,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0034857,00-0029604,-0.06120875849465335,0.011760524640515961,55.0,89.0,0.07296928313516932
2018,3,REG,2018_03_CHI_ARI,CHI,ARI,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0033869,00-0027854,-0.05998787843589491,-0.12872393970238777,75.0,64.0,-0.06873606126649286
2018,3,REG,2018_03_CIN_CAR,CIN,CAR,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0027973,00-0027939,-0.000795990906877854,-0.032030701179902525,72.0,76.0,-0.03123471027302467
2018,3,REG,2018_03_DAL_SEA,DAL,SEA,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0033077,00-0029263,-0.07458833172155396,-0.05989451556083861,60.0,81.0,0.014693816160715356
2018,3,REG,2018_03_DEN_BAL,DEN,BAL,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0028986,00-0026158,-0.052501338904640905,-0.035352735508045026,76.0,94.0,0.01714860339659588
2018,3,REG,2018_03_GB_WAS,GB,WAS,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0023459,00-0023436,-0.0026330258408501644,0.0004899834625218327,78.0,82.0,0.003123009303371997
2018,3,REG,2018_03_IND_PHI,IND,PHI,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0029668,00-0032950,-0.013929046622411019,-0.05,87.0,0.0,-0.036070953377588984
2018,3,REG,2018_03_LAC_LA,LAC,LAR,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0022942,00-0033106,0.0633269877463672,0.027724274188129172,81.0,68.0,-0.03560271355823803
2018,3,REG,2018_03_NE_DET,NE,DET,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0019596,00-0026498,0.0019378874624693398,-0.05967478782246146,78.0,101.0,-0.0616126752849308
2018,3,REG,2018_03_NO_ATL,NO,ATL,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0020531,00-0026143,0.04435817616543067,-0.03043397585273975,84.0,75.0,-0.07479215201817041
2018,3,REG,2018_03_NYG_HOU,NYG,HOU,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0022803,00-0033537,-0.09291960946266192,-0.04921830604237021,89.0,73.0,0.043701303420291715
2018,3,REG,2018_03_NYJ_CLE,NYJ,CLE,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0034869,00-0028118,-0.03561960854931879,-0.09434742151454958,67.0,80.0,-0.058727812965230795
2018,3,REG,2018_03_OAK_MIA,LV,MIA,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0031280,00-0029701,-0.04688239685537172,-0.050424738391978634,74.0,56.0,-0.003542341536606916
2018,3,REG,2018_03_PIT_TB,PIT,TB,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0022924,00-0023682,-0.009185895103085151,0.11626863438988652,106.0,63.0,0.12545452949297167
2018,3,REG,2018_03_SF_KC,SF,KC,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0031345,00-0033873,-0.07139774850763915,0.09400130262426314,68.0,57.0,0.16539905113190229
2018,3,REG,2018_03_TEN_JAX,TEN,JAX,2018-09-18T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0027948,00-0031407,-0.06869035723032081,0.009171368708109084,43.0,79.0,0.0778617259384299
2018,4,REG,2018_04_BAL_PIT,BAL,PIT,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0026158,00-0022924,-0.01362398522036477,0.02285394237240093,136.0,147.0,0.036477927592765705
2018,4,REG,2018_04_BUF_GB,BUF,GB,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0034857,00-0023459,-0.04690712715181077,-0.016120600307732047,80.0,126.0,0.030786526844078725
2018,4,REG,2018_04_CIN_ATL,CIN,ATL,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0027973,00-0026143,0.008613385780017135,0.03203086491719163,120.0,113.0,0.023417479137174492
2018,4,REG,2018_04_CLE_OAK,CLE,LV,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0034855,00-0031280,-0.01179979219347696,-0.016766669178703616,24.0,116.0,-0.004966876985226656
2018,4,REG,2018_04_DET_DAL,DET,DAL,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0026498,00-0033077,-0.038917077058116444,-0.103755295478452,138.0,99.0,-0.06483821842033555
2018,4,REG,2018_04_HOU_IND,HOU,IND,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0033537,00-0029668,-0.006640436756973116,-0.044780694474744684,116.0,129.0,-0.03814025771777157
2018,4,REG,2018_04_KC_DEN,KC,DEN,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0033873,00-0028986,0.13707861954653616,-0.06613394962016833,97.0,113.0,-0.2032125691667045
2018,4,REG,2018_04_MIA_NE,MIA,NE,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0029701,00-0019596,-0.009907973661570282,-0.028060068412315196,80.0,106.0,-0.018152094750744915
2018,4,REG,2018_04_MIN_LA,MIN,LAR,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0029604,00-0033106,-0.04318064054299682,0.08451408006063346,148.0,105.0,0.1276947206036303
