game_id,team_side,canonical_team,researched_name,raw_candidate_name,candidate_pfr_id,crosswalk_name,comparison_status,resolution_basis,notes
2023_08_LA_DAL,away,LAR,Matthew Stafford,Matthew Stafford,StafMa00,Matthew Stafford,EXACT_NAME_MATCH,EXACT_STRING,
2023_08_LA_DAL,away,LAR,Matthew Stafford,Brett Rypien,RypiBr00,Brett Rypien,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2023_08_MIN_GB,away,MIN,Kirk Cousins,Kirk Cousins,CousKi00,Kirk Cousins,EXACT_NAME_MATCH,EXACT_STRING,
2023_08_MIN_GB,away,MIN,Kirk Cousins,Jaren Hall,HallJa00,Jaren Hall,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2023_08_NYJ_NYG,home,NYG,Tyrod Taylor,Tyrod Taylor,TaylTy00,Tyrod Taylor,EXACT_NAME_MATCH,EXACT_STRING,
2023_08_NYJ_NYG,home,NYG,Tyrod Taylor,Tommy DeVito,DeViTo00,Tommy DeVito,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2023_09_NYG_LV,away,NYG,Daniel Jones,Daniel Jones,JoneDa05,Daniel Jones,EXACT_NAME_MATCH,EXACT_STRING,
2023_09_NYG_LV,away,NYG,Daniel Jones,Tommy DeVito,DeViTo00,Tommy DeVito,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2023_10_NO_MIN,away,NO,Derek Carr,Derek Carr,CarrDe02,Derek Carr,EXACT_NAME_MATCH,EXACT_STRING,
2023_10_NO_MIN,away,NO,Derek Carr,Jameis Winston,WinsJa00,Jameis Winston,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2023_11_CIN_BAL,away,CIN,Joe Burrow,Joe Burrow,BurrJo01,Joe Burrow,EXACT_NAME_MATCH,EXACT_STRING,
2023_11_CIN_BAL,away,CIN,Joe Burrow,Jake Browning,BrowJa08,Jake Browning,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2023_11_PIT_CLE,home,CLE,Dorian Thompson-Robinson,Deshaun Watson,WatsDe00,Deshaun Watson,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2023_11_PIT_CLE,home,CLE,Dorian Thompson-Robinson,Dorian Thompson-Robinson,ThomDo02,Dorian Thompson-Robinson,EXACT_NAME_MATCH,EXACT_STRING,
2023_12_MIA_NYJ,home,NYJ,Tim Boyle,Tim Boyle,BoylTi00,Tim Boyle,EXACT_NAME_MATCH,EXACT_STRING,
2023_12_MIA_NYJ,home,NYJ,Tim Boyle,Zach Wilson,WilsZa00,Zach Wilson,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2023_14_JAX_CLE,home,CLE,Joe Flacco,Joe Flacco,FlacJo00,Joe Flacco,EXACT_NAME_MATCH,EXACT_STRING,
2023_14_JAX_CLE,home,CLE,Joe Flacco,Deshaun Watson,WatsDe00,Deshaun Watson,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2023_15_CHI_CLE,home,CLE,Joe Flacco,Joe Flacco,FlacJo00,Joe Flacco,EXACT_NAME_MATCH,EXACT_STRING,
2023_15_CHI_CLE,home,CLE,Joe Flacco,Deshaun Watson,WatsDe00,Deshaun Watson,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2023_15_NYJ_MIA,away,NYJ,Zach Wilson,Aaron Rodgers,RodgAa00,Aaron Rodgers,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2023_15_NYJ_MIA,away,NYJ,Zach Wilson,Trevor Siemian,SiemTr00,Trevor Siemian,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2023_15_NYJ_MIA,away,NYJ,Zach Wilson,Zach Wilson,WilsZa00,Zach Wilson,EXACT_NAME_MATCH,EXACT_STRING,
2023_16_SEA_TEN,home,TEN,Ryan Tannehill,Will Levis,LeviWi00,Will Levis,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2023_16_SEA_TEN,home,TEN,Ryan Tannehill,Ryan Tannehill,TannRy00,Ryan Tannehill,EXACT_NAME_MATCH,EXACT_STRING,
2023_17_ATL_CHI,away,ATL,Taylor Heinicke,Taylor Heinicke,HeinTa00,Taylor Heinicke,EXACT_NAME_MATCH,EXACT_STRING,
2023_17_ATL_CHI,away,ATL,Taylor Heinicke,Desmond Ridder,RiddDe00,Desmond Ridder,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2024_04_PIT_IND,home,IND,Anthony Richardson,Joe Flacco,FlacJo00,Joe Flacco,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2024_04_PIT_IND,home,IND,Anthony Richardson,Anthony Richardson,RichAn03,Anthony Richardson,EXACT_NAME_MATCH,EXACT_STRING,
