season,week,season_type,gameday,game_id,away_team,home_team,team_side,canonical_team,canonical_opponent,actual_starting_qb_name,actual_starting_qb_pfr_id,actual_starting_qb_gsis_id,starter_resolution_class,starter_source,starter_source_game_id,starter_source_locator,starter_source_rank,starter_evidence_class,historical_model_usage,postseason_flag,semantic_exception_flag,official_qb_start_credit,notes
2025,1,REG,2025-09-05,2025_01_KC_LAC,KC,LAC,home,LAC,KC,Justin Herbert,HerbJu00,00-0036355,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_KC_LAC,2025 Stathead pasted rank 413,413,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_LV_NE,LV,NE,away,LV,NE,Geno Smith,SmitGe00,00-0030565,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_LV_NE,2025 Stathead pasted rank 5,5,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_LV_NE,LV,NE,home,NE,LV,Drake Maye,MayeDr00,00-0039851,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_LV_NE,2025 Stathead pasted rank 281,281,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_MIA_IND,MIA,IND,away,MIA,IND,Tua Tagovailoa,TagoTu00,00-0036212,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_MIA_IND,2025 Stathead pasted rank 8,8,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_MIA_IND,MIA,IND,home,IND,MIA,Daniel Jones,JoneDa05,00-0035710,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_MIA_IND,2025 Stathead pasted rank 366,366,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-08,2025_01_MIN_CHI,MIN,CHI,away,MIN,CHI,J.J. McCarthy,McCaJJ00,00-0039923,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_MIN_CHI,2025 Stathead pasted rank 252,252,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-08,2025_01_MIN_CHI,MIN,CHI,home,CHI,MIN,Caleb Williams,WillCa03,00-0039918,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_MIN_CHI,2025 Stathead pasted rank 10,10,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_NYG_WAS,NYG,WAS,away,NYG,WAS,Russell Wilson,WilsRu00,00-0029263,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_NYG_WAS,2025 Stathead pasted rank 11,11,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_NYG_WAS,NYG,WAS,home,WAS,NYG,Jayden Daniels,DaniJa02,00-0039910,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_NYG_WAS,2025 Stathead pasted rank 507,507,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_PIT_NYJ,PIT,NYJ,away,PIT,NYJ,Aaron Rodgers,RodgAa00,00-0023459,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_PIT_NYJ,2025 Stathead pasted rank 4,4,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_PIT_NYJ,PIT,NYJ,home,NYJ,PIT,Justin Fields,FielJu00,00-0036945,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_PIT_NYJ,2025 Stathead pasted rank 463,463,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_SF_SEA,SF,SEA,away,SF,SEA,Brock Purdy,PurdBr00,00-0037834,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_SF_SEA,2025 Stathead pasted rank 2,2,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_SF_SEA,SF,SEA,home,SEA,SF,Sam Darnold,DarnSa00,00-0034869,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_SF_SEA,2025 Stathead pasted rank 489,489,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
