raw_player_name,display_name,pfr_id,gsis_id,position,mapping_source,mapping_rule
Mason Rudolph,Mason Rudolph,RudoMa00,00-0034771,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Matthew Stafford,Matthew Stafford,StafMa00,00-0026498,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Max Brosmer,Max Brosmer,BrosMa00,00-0040494,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Michael Penix,Michael Penix Jr.,PeniMi00,00-0039917,QB,FROZEN_TASK04A_CROSSWALK,EXPLICIT_HISTORICAL_ALIAS:Michael Penix->Michael Penix Jr.
Patrick Mahomes,Patrick Mahomes,MahoPa00,00-0033873,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Philip Rivers,Philip Rivers,RivePh00,00-0022942,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Quinn Ewers,Quinn Ewers,EwerQu00,00-0040234,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Riley Leonard,Riley Leonard,LeonRi02,00-0040206,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Russell Wilson,Russell Wilson,WilsRu00,00-0029263,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Sam Darnold,Sam Darnold,DarnSa00,00-0034869,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Shedeur Sanders,Shedeur Sanders,SandSh00,00-0040668,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Spencer Rattler,Spencer Rattler,RattSp00,00-0039376,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Tanner McKee,Tanner McKee,McKeTa01,00-0038400,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Trevor Lawrence,Trevor Lawrence,LawrTr00,00-0036971,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Trey Lance,Trey Lance,LancTr00,00-0037012,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Tua Tagovailoa,Tua Tagovailoa,TagoTu00,00-0036212,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Tyler Huntley,Tyler Huntley,HuntTy01,00-0035993,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Tyler Shough,Tyler Shough,ShouTy00,00-0040743,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Tyrod Taylor,Tyrod Taylor,TaylTy00,00-0028118,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
